fname: dot-vimrc-en-mapped-commands-20260908.txt
----------------------------------------------------------------------------------------------------------
mapping type    mapping             description
----------------------------------------------------------------------------------------------------------
vnoremap        1q                  put sellection inside single quotes
vnoremap        2q                  put sellection inside double quotes
nnoremap        ,b                  break line at position 110 chars
nnoremap        ,bt                 open all buffers into separate tabs
vnoremap        ,cd                 enclose visual selection between <code></code> tags
inoremap        <C-F>               map ctrl+x ctrl+f to ctrl+f
nnoremap        ,c                  insert <code></code> and put cursor inside
vnoremap        ,ct                 c-style comment out visual block
vnoremap        ,cu                 c-style un-comment visual block
nnoremap        ,d                  search for [12] or [123] troughout a file and ask to deete it
nnoremap        ,ds                 remove '[...]' in current line
vnoremap        ,ds                 remove '[...]' in current line
inoremap        ,dt                 insert datestamp 'YYYYmmdd'
nnoremap        ,dt                 insert datestamp 'YYYYmmdd'
vnoremap        ,dt                 insert datestamp 'YYYYmmdd'
inoremap        ${{                 enclosing brackets/square/curly
inoremap        ((                  enclosing brackets/square/curly
inoremap        [[                  enclosing brackets/square/curly
inoremap        [[[                 enclosing brackets/square/curly
inoremap        {{                  enclosing brackets/square/curly
vnoremap        ,ht                 html comment
vnoremap        ,hu                 html uncomment
vnoremap        ,ju                 un-comment java visual block
vnoremap        ,jv                 comment out java visual block
noremap         ,lc                 copy http link into the [number] holder
nnoremap        <LEADER>b           change buffer to file from list
noremap         <LEADER>c           clone current line or sellection
vnoremap        <LEADER>c           clone current line or sellection
nnoremap        <LEADER>fe          :FZF -e
nnoremap        <LEADER>ff          :FZF
nnoremap        <LEADER>n           :NERDTreeToggle
nnoremap        <LEADER>oo          search in vim's file edit histroy and open it for edit/view
nnoremap        <LEADER>pv          netrw window setup
nnoremap        <LEADER>r           ranger
nnoremap        <LEADER>s           replace spaces and semicolon or just spaces
nnoremap        <LEADER>st          remove lagging when editing *.h files
nnoremap        <LEADER>x           replace spaces and semicolon or just spaces
noremap         ,mf                 change from 'nonmodifiable' to 'modifiable'
nnoremap        ,n                  :call NumberToggle()
noremap         ,nf                 change from 'modifiable' to 'nonmodifiable'
vnoremap        ,pt                 comment out python visual block
vnoremap        ,pu                 un-comment python visual block
vnoremap        ,rr                 shift tab and remove spacesl
vnoremap        ,rt                 retab visual sellection
nnoremap        ,sb                 move line under the cursor inside []
vnoremap        ,sb                 move line under the cursor inside []
nnoremap        <SILENT>,dq         add double quotes around word
nnoremap        <SILENT>,sq         add single quotes around word
nnoremap        <SILENT>,uq         remove quotes around word
inoremap        sout                System.out.println("")
nnoremap        <SPACE>0            indent/format main{} block
nnoremap        <SPACE>2t           replace leading 2 spaces to tabs
vnoremap        <SPACE>2t           replace leading 2 spaces to tabs
nnoremap        ,4                  cmd promt symbol replacement
vnoremap        ,4                  cmd promt symbol replacement
nnoremap        <SPACE>4            cmd promt symbol replacement
vnoremap        <SPACE>4            cmd promt symbol replacement
nnoremap        <SPACE>4t           replace leading 4 spaces to tabs
vnoremap        <SPACE>4t           replace leading 4 spaces to tabs
nnoremap        <SPACE>9            replace single quote inside words with apostrophe
vnoremap        <SPACE>dq           move selected text between ""
vnoremap        <SPACE>sq           move selected text between ''
noremap         <SPACE>f            move '{' after 'func() '
nnoremap        <SPACE>j            multiple lines move
vnoremap        <SPACE>j            multiple lines move
nnoremap        <SPACE>k            multiple lines move
vnoremap        <SPACE>k            multiple lines move
vnoremap        ,<SPACE>            remove leading chars with space in visual mode
noremap         <SPACE>s            insert <SPACE> between // and text
noremap         <SPACE>ssc          :set syntax=c
noremap         <SPACE>ssg          :set syntax=go
noremap         <SPACE>ssh          :set syntax=sh
noremap         <SPACE>ssj          :set syntax=java
noremap         <SPACE>ssp          :set syntax=python
noremap         <SPACE>ss           :set syntax=
noremap         <SPACE>sst          :set syntax=text
nnoremap        <SPACE>v            initial config source and syntax setup
noremap         ,stb                :so ~/.vimrc | :set syntax=bash
noremap         ,stc                :so ~/.vimrc | :set syntax=c
noremap         ,stj                :so ~/.vimrc | :set syntax=java
noremap         ,stp                :so ~/.vimrc | :set syntax=python
noremap         ,stz                :so ~/.vimrc | :set syntax=zig
vnoremap        ,t                  replace multiple <TAB>s with trailing <SPACE> with <TAB>s only
noremap         ,tr                 table row dividers
noremap         ,wd                 write and close buffer
----------------------------------------------------------------------------------------------------------

