fname: dot-vimrc-mdb-mapped-commands-20260908.txt
----------------------------------------------------------------------------------------------------------
mapping type    mapping             description
----------------------------------------------------------------------------------------------------------
vnoremap        1q                  put sellection inside single quotes
vnoremap        2q                  put sellection inside double quotes
nnoremap        ,b                  break line at position 110 chars
map             ,bt                 open all buffers into separate tabs
vnoremap        ,cd                 enclose visual selection between <code></code> tags
inoremap        <C-F>               insert file search:  <C-X><C-F>
vnoremap        <C-T>               replaces tabs to 4 spaces in visual block
vnoremap        ,cc                 C-style comment out visual block
vnoremap        ,cu                 un-comment C-style visual block
vnoremap        ,ht                 comment out html visual block
vnoremap        ,hu                 un-comment html visual block
vnoremap        ,ju                 un-comment java visual block
vnoremap        ,jv                 comment out java visual block
vnoremap        ,pt                 comment out python visual block
vnoremap        ,pu                 un-comment python visual block
nnoremap        ,d                  search for [12] or [123] in file and ask to delete
nnoremap        ,ds                 remove '[...]' in current line
vnoremap        ,ds                 remove '[...]' in current line
inoremap        ,dt                 insert datestamp 'YYYYmmdd'
nnoremap        ,dt                 insert datestamp 'YYYYmmdd'
vnoremap        ,dt                 insert datestamp 'YYYYmmdd'
nnoremap        <F5>                :NERDTreeToggle
inoremap        ${{                 insert enclosing brackets/square/curly
inoremap        ((                  insert enclosing brackets/square/curly
inoremap        [[                  insert enclosing brackets/square/curly
inoremap        [[[                 insert enclosing brackets/square/curly
inoremap        {{                  insert enclosing brackets/square/curly
noremap         ,lc                 copy http link into the [number] holder for the link after lyxd-ed document
nnoremap        <LEADER>b           change buffer to file from list
noremap         <LEADER>c           clone current line or selection
vnoremap        <LEADER>c           clone current line or selection
nnoremap        <LEADER>fe          :FZF -e
nnoremap        <LEADER>ff          :FZF
nnoremap        <LEADER>n           :NERDTree
nnoremap        <LEADER>pv          vim´s file explorer (Netrw) in left column of size 30 (close with :bd)
nnoremap        <LEADER>r           :ranger
nnoremap        <LEADER>s           replace ' ;' or ' ' at zhe end of the line with ';'
nnoremap        <LEADER>st          removes lagging when editing .h files
noremap         ,mf                 change from 'nonmodifiable' to 'modifiable'
noremap         ,nf                 change from 'modifiable' to 'nonmodifiable'
nnoremap        ,n                  :call NumberToggle()
nnoremap        ;;                  put semicolon at the end of the line
vnoremap        ;;                  put semicolon at the end of the line
vnoremap        ,rr                 shift tab and remove spaces
vnoremap        ,rt                 retab visual sellection
nnoremap        ,sb                 move line under the cursor inside []
vnoremap        ,sb                 move selected text into []
nnoremap        <SILENT>,dq         add single quotes arround the word
nnoremap        <SILENT>,sq         add double quotes arround the word
nnoremap        <SILENT>,uq         remove quotes arround the word (un-quote)
inoremap        sout                System.out.println("")
vnoremap        ,<SPACE>            remove leading chars with space in visual mode
nnoremap        <SPACE>2t           replace leading 2 spaces to tabs
vnoremap        <SPACE>2t           replace leading 2 spaces to tabs
nnoremap        ,4                  replace start of the line with '$> ' prompt
vnoremap        ,4                  replace start of the line with '$> ' prompt
nnoremap        <SPACE>4            replace $ at the start of the line with '$> ' prompt
vnoremap        <SPACE>4            replace $ at the start of the line with '$> ' prompt
nnoremap        <SPACE>4t           replace leading 4 spaces to tabs
vnoremap        <SPACE>4t           replace leading 4 spaces to tabs
nnoremap        <SPACE>9            replace ' inside words with ´
vnoremap        <SPACE>dq           move selected text between ""
noremap         <SPACE>f            move '{' after 'func() '
noremap         <SPACE>GRGR         NOT EXISTS
nnoremap        <SPACE>j            move entire lines UP an d DOWN
vnoremap        <SPACE>j            move entire lines UP an d DOWN
nnoremap        <SPACE>k            move entire lines UP an d DOWN
vnoremap        <SPACE>k            move entire lines UP an d DOWN
nnoremap        <SPACE>=            select whole 'main() { ... }' block and formate it with '='
nnoremap        <SPACE>,            :set listchars-=space:⋅
nnoremap        <SPACE>.            :set listchars+=space:⋅
vnoremap        <SPACE>sq           move selected text between ''
noremap         <SPACE>ssc          :set syntax=c
noremap         <SPACE>ssg          :set syntax=go
noremap         <SPACE>ssh          :set syntax=sh
noremap         <SPACE>ssj          :set syntax=java
noremap         <SPACE>ssp          :set syntax=python
noremap         <SPACE>ss           :set syntax=
noremap         <SPACE>sst          :set syntax=text
nnoremap        <SPACE>v            :so ~/.vimrc | set syntax=c | :noh
noremap         ,stb                :so ~/.vimrc | :set syntax=bash
noremap         ,stc                :so ~/.vimrc | :set syntax=c
noremap         ,stj                :so ~/.vimrc | :set syntax=java
noremap         ,stp                :so ~/.vimrc | :set syntax=python
noremap         ,stz                :so ~/.vimrc | :set syntax=zig
vnoremap        ,t                  replace multiple <TAB>s with trailing <SPACE> with <TAB>s only
noremap         ,tr                 table row dividers
noremap         ,wd                 write and close buffer
----------------------------------------------------------------------------------------------------------

